ds,yhat,yhat_lower,yhat_upper
2023-03-17,68706.33644344196,42518.05093231407,94295.5889528242
2023-03-18,66448.42321008367,41666.75614193593,92185.7178800651
2023-03-19,68877.01141565743,42985.78824172137,92897.39784745449
2023-03-20,66439.76823337119,39569.22836895561,90685.18645284558
2023-03-21,68461.92807871396,41882.09062765747,91197.25998724073
2023-03-22,68480.98869334994,41053.355199856975,92339.88298321854
2023-03-23,67613.82894063398,42881.56277681383,94065.61217969895
2023-03-24,69837.46119649713,45152.52561713992,93748.42778665833
2023-03-25,67546.4358189384,43146.695667996304,91491.39958865927
2023-03-26,69928.94305523143,44713.74035264091,93267.69732421063
2023-03-27,67434.77961918093,42326.925595112625,91935.02674785748
2023-03-28,69391.42917148223,44352.38532483224,94784.73656571098
2023-03-29,69338.6967792701,44886.464526118136,93236.45015951147
2023-03-30,68395.76444431486,43714.48742649086,93799.83701363047
2023-03-31,70541.88213576155,46550.66532886701,94698.04596893922
2023-04-01,68173.71337472668,42988.53818492887,92030.17113186159
2023-04-02,70481.3822656442,46994.38303987336,95761.99394202136
2023-04-03,67916.39067291385,43667.75897288703,93709.31871960251
2023-04-04,69807.65613344115,44125.10600722551,94345.64531412991
2023-04-05,69696.11179138774,44934.54488007846,94257.93232338119
2023-04-06,68701.73645594409,44181.454684276425,93322.69133945617
2023-04-07,70804.2300433001,46348.57445225893,95065.66846438502
2023-04-08,68400.3539833032,45597.17370804027,93235.92666694913
2023-04-09,70679.98378069732,46235.195475086504,96921.84355637908
2023-04-10,68094.04242446659,43579.1399519047,93264.82688392323
2023-04-11,69970.56493583503,44605.5543155196,94579.70501972387
2023-04-12,69849.33474164607,45446.760129038885,95968.93041053385
2023-04-13,68848.9590966522,45272.3759882676,92976.6241419717
2023-04-14,70947.59763032047,47098.71549991482,97256.15802266059
2023-04-15,68540.36220486666,42605.36205697397,92960.5500979493
2023-04-16,70815.43362826708,44413.76549042228,95694.59129205288
2023-04-17,68222.06210030866,43202.489004710056,94088.87634781518
2023-04-18,70086.69972917093,44567.869354728515,94165.6284551386
2023-04-19,69947.70376614938,45569.284235825806,95647.46609262437
2023-04-20,68922.47571269715,43083.347182130354,93428.33054949036
2023-04-21,70988.24833215008,46594.84374911302,95796.19301059075
2023-04-22,68539.53679607739,42657.03571489409,92391.18023689855
2023-04-23,70764.29769527417,46789.93168513312,94697.26980899781
2023-04-24,68111.96118070954,43398.34778759674,94442.41900790615
2023-04-25,69909.58321127563,45925.42910523812,96334.09866086298
2023-04-26,69696.55549556957,44258.809175949136,95759.50842815149
2023-04-27,68591.73756111247,42784.1983014836,93841.79563979844
2023-04-28,70574.22263539706,44586.48673017326,95884.3199828836
2023-04-29,68040.75361464343,42552.61421835296,91067.37823418799
2023-04-30,70181.83330418107,44824.79387750881,95133.7993265899
2023-05-01,67449.69505661113,43192.61902427057,91491.91701562524
2023-05-02,69174.3820448489,44184.26960203181,93966.96959927956
2023-05-03,68898.37439301894,46026.516409624215,93434.87403265522
2023-05-04,67743.63057839559,42835.20371868747,92907.58329738802
2023-05-05,69692.25706815373,44305.70823814438,95568.05827393652
2023-05-06,67143.8249933959,42670.75101066624,91778.49258719434
2023-05-07,69291.38075542562,44491.66067826713,94918.6198690571
2023-05-08,66589.31951815868,42124.46972864741,89418.18366294865
2023-05-09,68369.37269233644,44048.929353179396,92447.64876253366
2023-05-10,68175.15146744595,43632.844903242454,93643.37665143971
2023-05-11,67129.1155222575,43315.865300419784,91915.95144108306
2023-05-12,69213.18340091215,43556.09271625288,93361.48134820316
2023-05-13,66826.00561163106,41824.20574152301,92919.63493926151
2023-05-14,69158.94925659335,45210.64269261852,95999.92419038386
2023-05-15,66663.96465773466,43997.800809380686,92960.05031546924
2023-05-16,68669.58613662612,45146.464560256376,93846.20237207299
2023-05-17,68715.50955590715,43740.78368707823,94546.9605343839
2023-05-18,67919.61577152522,43672.86815619164,91073.56746392754
2023-05-19,70258.65595159295,45457.58728860865,95303.10211358525
2023-05-20,68125.61873262218,44178.54099774224,92763.09193787415
2023-05-21,70705.82639370837,45701.1561738815,95705.61676409085
2023-05-22,68444.9283663387,42190.977986829894,94353.79170806616
2023-05-23,70665.04162649327,46282.92938816154,95420.62169900828
2023-05-24,70899.47751434761,47305.75081132717,95702.55406681352
2023-05-25,70259.92075247849,45518.5041049653,94728.21108784225
2023-05-26,72717.27293400896,48650.705996842255,98501.66596195169
2023-05-27,70659.17658997593,45289.49914131529,96215.39785991707
2023-05-28,73266.26305776148,46669.8126959625,98938.18165782772
2023-05-29,70980.28851652848,45627.02466890898,95291.8459244425
2023-05-30,73120.40387958895,48500.7551927072,96899.06858841189
2023-05-31,73217.99446912712,49183.17831189135,99187.85351988867
2023-06-01,72383.95189211798,46922.558924972,97449.4113925495
2023-06-02,74589.5874654019,50127.1363494467,99153.14593886913
2023-06-03,72224.20084736386,48322.53852843093,95567.82531226751
2023-06-04,74471.34520630422,49916.493456074364,99010.80499568008
2023-06-05,71776.9520185733,46100.401638720214,97474.44294171725
2023-06-06,73465.56057894322,49420.13960176375,99294.10159783103
2023-06-07,73075.08823717505,48321.24705533981,97395.01609863527
2023-06-08,71724.00457769586,47802.23231684345,98178.91578766596
2023-06-09,73392.12039297272,47485.2941707483,98877.37021238517
2023-06-10,70478.00729303036,46146.27224482269,94286.33370253423
2023-06-11,72175.09210865998,47495.405579611746,96473.68790995842
2023-06-12,68939.59259296802,45129.1736580641,93937.35251181058
2023-06-13,70106.54342786246,46955.42367692554,96780.3733725633
2023-06-14,69224.35289723016,42870.56320651114,98069.97457152593
2023-06-15,67421.75812108273,41720.01340282437,92962.2171474758
2023-06-16,68688.39458585123,45691.77784657987,94108.31289407589
2023-06-17,65432.00081097869,42467.27707900984,90094.65289551305
2023-06-18,66854.30727829818,43190.43607875199,91803.92529668758
2023-06-19,63418.78096110113,38089.68060053575,88427.86582123426
2023-06-20,64466.4790307427,38868.82212702757,89700.57613836235
2023-06-21,63550.45630061119,38774.7696950952,89297.11799265587
2023-06-22,61802.59801496041,38265.61548172741,87207.98756279684
2023-06-23,63214.09686442068,37419.27143299449,88674.77542474648
2023-06-24,60192.59754428527,35242.595317212246,87346.20871010025
2023-06-25,61938.05974166889,37041.69409026644,86721.07772034821
2023-06-26,58910.51187030642,33608.83827893713,86240.69648542366
2023-06-27,60445.94930774347,34003.46232884228,84941.18513792488
2023-06-28,60090.82105589542,33863.604164070384,85143.49540714099
2023-06-29,58968.974986217596,35298.9689532211,83021.23496750272
2023-06-30,61062.27832752613,37288.66323101149,86381.22740942979
2023-07-01,58767.93375917692,33461.05880646653,83357.52218202052
2023-07-02,61274.53837972405,37922.96490110617,90134.64890428401
2023-07-03,59030.05367426926,32089.602169530863,83966.4614903124
2023-07-04,61357.93555886205,34880.4022794971,87443.90406402093
2023-07-05,61791.86337473689,36868.62920821487,86273.75268530696
2023-07-06,61442.93269439977,34611.478774115014,85670.36244619172
2023-07-07,64280.52317230728,40510.59076820782,87962.42954308285
2023-07-08,62689.8563788108,38309.37370611763,87209.30128681683
2023-07-09,65848.2856133422,41839.34550706114,88900.25721716859
2023-07-10,64193.48076225544,38947.42126594661,89989.41012269622
2023-07-11,67039.75265746367,44685.528352274836,91936.22404910451
2023-07-12,67912.95163226244,43614.21383038089,94141.57604432332
2023-07-13,67917.80156353718,42774.440906740405,93030.95586051683
2023-07-14,71018.87772719235,45207.21421023361,97464.95806062027
2023-07-15,69598.24123753753,43467.382567971865,93475.89439679819
2023-07-16,72831.77066602182,48373.725208755364,99187.10082551868
2023-07-17,71157.35335809141,46061.74169193426,97403.10116763906
2023-07-18,73891.18112075246,50465.05564813411,98745.8002777149
2023-07-19,74562.58604383578,48545.97846310706,99497.13300156157
2023-07-20,74281.27956876988,50837.01466870797,99667.32920221121
2023-07-21,77018.20568275082,52002.60175657675,101420.48051057207
2023-07-22,75163.02421516198,50583.28970145712,100881.98575952362
2023-07-23,77900.26860760823,53424.11689375381,101380.93154879901
2023-07-24,75677.34492458422,50453.950972430226,99307.46897710854
2023-07-25,77820.62138837464,52425.612828173784,101922.49825002567
2023-07-26,77870.04905883175,53353.001965055395,103082.44562148076
2023-07-27,76946.18175355563,51151.357745767724,101468.54072514053
2023-07-28,79030.81106933509,54183.20006106532,104440.14719538462
2023-07-29,76524.23734421485,52096.455837391215,101842.76718596816
2023-07-30,78621.22555530605,53831.15318528668,102137.9487968154
2023-07-31,75778.81716528714,51810.68519059562,99427.42495138416
2023-08-01,77332.25118670656,52597.935269336966,100855.23996717506
2023-08-02,76829.4380707376,51271.57863640573,100745.45077167575
2023-08-03,75397.85752029502,53349.47675964466,99730.75619415923
2023-08-04,77025.0979674284,52661.28077113581,100901.06234635925
2023-08-05,74116.05992431732,48419.68891638035,100211.25523554637
2023-08-06,75868.87282960796,50177.60963785866,99377.50601149234
2023-08-07,72742.69634689004,47420.36059543969,98099.09257686223
2023-08-08,74073.65844948092,50827.991101566644,99374.46033763059
2023-08-09,73409.37277297396,48171.235151767694,97666.8809434017
2023-08-10,71875.90398602089,46155.742775883766,94999.37067414277
2023-08-11,73458.396501507,47957.80736073008,97831.73377965864
2023-08-12,70558.38568064108,45503.5459276697,96096.90882426925
2023-08-13,72369.8377631203,46188.89587307185,97137.37260188628
2023-08-14,69347.08582969454,45047.238433299455,93817.23178912542
2023-08-15,70820.91032098206,48570.30554087352,96326.28390681432
2023-08-16,70333.20273121918,44399.85465575607,94261.83074686232
2023-08-17,69004.07741509877,44265.637808452935,93817.93051830483
2023-08-18,70812.64317115508,46423.2869313771,97141.17418252917
2023-08-19,68154.45034064724,43488.87520413186,93493.8920914977
2023-08-20,70217.65657403899,46024.42532614537,95418.43995861168
2023-08-21,67451.07589526729,41182.845146783024,91611.8639741804
2023-08-22,69180.35737730374,45089.44952059487,93837.83343566691
2023-08-23,68942.64440468085,43549.80534432432,95310.23270049572
2023-08-24,67854.00802519592,41993.99413295005,91760.301465007
2023-08-25,69890.00601122601,45472.03890239788,94018.7638953217
2023-08-26,67443.24276311354,40777.987551896214,91674.68184042834
2023-08-27,69699.54397257562,44928.74431920154,94446.89123080857
2023-08-28,67105.99760800615,43240.03805137368,91472.20563540944
2023-08-29,68987.10897678076,45545.229447249934,94912.42415968425
2023-08-30,68879.5086194058,44962.653580676255,92642.60945538599
2023-08-31,67899.07897655552,43510.654879966976,92061.60919811735
2023-09-01,70021.71329549146,45838.81965577386,94139.4230239427
2023-09-02,67640.72503505515,43675.321643571035,91665.6952307676
2023-09-03,69942.95405085488,44590.52691171769,94714.21660506321
2023-09-04,67376.73781150985,44513.54446026363,91498.06966854974
2023-09-05,69267.99793820828,44205.14924868588,94228.76171908171
2023-09-06,69154.8831852012,45237.945054798336,92978.84760768893
2023-09-07,68154.83691737438,44355.09241039076,93023.85424857395
2023-09-08,70245.30435725927,46311.2362078069,95012.15874314567
2023-09-09,67821.09930307667,43415.59997928724,93659.41778452211
2023-09-10,70070.47764208177,44879.8905899055,95913.16413892744
2023-09-11,67443.08652482735,42219.58383909735,90837.18498271928
2023-09-12,69266.039669847,44422.74350672033,94106.77228489649
2023-09-13,69078.55965874383,40853.29505823618,92528.81549678376
2023-09-14,67999.05460347123,43000.19065643737,93832.49600119496
2023-09-15,70005.84339733372,46246.215065182936,95123.72819869187
2023-09-16,67494.50806664769,41597.83172294993,89955.98679065106
2023-09-17,69654.11777072352,45543.96215065192,93870.8508946391
2023-09-18,66935.09357685536,43171.30296489975,90615.15593603229
2023-09-19,68665.36024197478,44839.01271899046,92644.98091074108
2023-09-20,68385.02480833295,42124.43299070366,92964.2213665567
2023-09-21,67213.48704074972,40578.19874978729,91098.0258132283
2023-09-22,69130.19386313536,41879.46273967941,93937.34339620078
2023-09-23,66532.05419717387,40502.19695663705,93073.40920627555
2023-09-24,68609.55817047067,44176.472364524074,94316.15523558481
2023-09-25,65814.76627332496,41178.147955549044,90448.66280278187
2023-09-26,67477.41584264352,41767.30335565478,93061.01965736589
2023-09-27,67139.5829579688,41940.40267920622,91725.359469192
2023-09-28,65922.7647810276,41763.2322251346,91603.13830013272
2023-09-29,67808.59472150421,44730.911231167505,92620.49023272422
2023-09-30,65196.20749950972,40704.97391546612,89627.44920369428
2023-10-01,67278.29917010879,43607.00671788813,92600.42368476326
